z,mu,sigma
0.34417000,41.33949000,0.11040000
0.34436000,41.09129000,0.18020000
0.34451000,41.44891000,0.17240000
0.34459000,41.26558000,0.13320000
0.34472000,42.25376000,7.07060000
0.34478000,41.25878000,0.10510000
0.34548000,41.36581000,0.10730000
0.34550000,41.26919000,0.11470000
0.34565000,41.30887000,0.12620000
0.34578000,41.29105000,0.14270000
0.34579000,41.43032000,0.21470000
0.34601000,41.29064000,0.15070000
0.34689000,41.09872000,0.13080000
0.34721000,41.13422000,0.11590000
0.34721000,42.87201000,218.23220000
0.34776000,41.64355000,0.20710000
0.34799000,41.51216000,0.20700000
0.34810000,41.72694000,0.25740000
0.34814000,41.16477000,0.18150000
0.34832000,42.90996000,218.43520000
0.34886000,41.22103000,0.11760000
0.34918000,41.38191000,0.15540000
0.35016000,41.31790000,0.10750000
0.35021000,41.25782000,0.26710000
0.35023000,41.31750000,0.10760000
0.35039000,41.25919000,0.17550000
0.35071000,41.26951000,0.15540000
0.35129000,41.47435000,0.12850000
0.35159000,41.29629000,0.19250000
0.35177000,41.25662000,0.11290000
0.35211000,41.15259000,0.12230000
0.35267000,42.02292000,32.61840000
0.35284000,41.51424000,0.15520000
0.35299000,41.39783000,0.12700000
0.35329000,41.53772000,0.14350000
0.35433000,41.10221000,0.10980000
0.35469000,41.30599000,0.22870000
0.35484000,41.56520000,0.13020000
0.35561000,41.29741000,0.13580000
0.35631000,41.30196000,0.11500000
0.35667000,41.35610000,0.12800000
0.35723000,41.28873000,0.19980000
0.35763000,41.88096000,0.19580000
0.35791000,41.40865000,0.17460000
0.35831000,41.59729000,0.11890000
0.35843000,41.54725000,0.13890000
0.35921000,41.38866000,0.12870000
0.35942000,42.35098000,164.62590000
0.35948000,41.52797000,0.10650000
0.35948000,41.45362000,0.10310000
0.36002000,41.56068000,0.14800000
0.36021000,41.60278000,0.27160000
0.36021000,42.56591000,232.37020000
0.36025000,42.08385000,0.32820000
0.36027000,41.34945000,0.14530000
0.36044000,41.42073000,0.19240000
0.36048000,41.30285000,0.17060000
0.36087000,41.22450000,0.16460000
0.36101000,41.55955000,0.21000000
0.36115000,41.55013000,0.18560000
0.36131000,41.43008000,0.17090000
0.36160000,41.50152000,0.24730000
0.36161000,41.28252000,0.19670000
0.36176000,41.48715000,0.12650000
0.36271000,40.96420000,0.15490000
0.36326000,41.35083000,0.18550000
0.36390000,41.52774000,0.16600000
0.36444000,41.57902000,0.12420000
0.36460000,41.23200000,0.16940000
0.36463000,41.30831000,0.21630000
0.36538000,42.59691000,138.51980000
0.36540000,41.48489000,0.21790000
0.36549000,41.40332000,0.10880000
0.36571000,41.38879000,0.19780000
0.36604000,41.23154000,0.18360000
0.36606000,41.57625000,0.14160000
0.36656000,41.39540000,0.13170000
