galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
ESO116-G012,7.56,109.0,2.1,5.0930818436360455e-11,1.0200335880883027e-11,4.033393264030321e-11,-10.293019344842097,-10.991385527374122,-10.394329431334379,0.10131008649228157
ESO116-G012,8.32,110.0,2.1,4.7131525723890406e-11,9.559383929035048e-12,3.887348335117917e-11,-10.326688501196411,-11.019570095678075,-10.410346541632315,0.0836580404359033
ESO116-G012,9.09,111.0,2.33,4.392699848761719e-11,8.784555811431238e-12,3.705772709128941e-11,-10.35726847087079,-11.056280193590592,-10.431121221336122,0.07385275046533124
ESO116-G012,9.86,112.0,4.74,4.122954909410762e-11,7.270669929819732e-12,3.3322102137170003e-11,-10.384791414822987,-11.138425570788907,-10.47726760877258,0.09247619394959372
ESO444-G084,0.26,18.3,1.8,4.1742483701616284e-11,6.929801980493937e-12,3.244060562043145e-11,-10.379421713732098,-11.159279175201684,-10.488911046718698,0.10948933298660002
ESO444-G084,0.77,35.3,3.0,5.244548915303544e-11,1.0217905631742537e-11,4.0373475008794786e-11,-10.280291859618975,-10.9906381125955,-10.39390386856854,0.11361200894956447
ESO444-G084,1.29,47.8,4.63,5.7400481796078004e-11,9.45373755880633e-12,3.862927692981619e-11,-10.241084462297149,-11.024396458130445,-10.413083420986162,0.17199895868901294
ESO444-G084,1.81,52.8,1.26,4.9915879194942424e-11,8.154565229676603e-12,3.5535976604039076e-11,-10.301761275023699,-11.088599188932202,-10.449331744723676,0.14757046969997667
ESO444-G084,2.32,58.0,3.11,4.69912996969433e-11,6.691193695399413e-12,3.1813396809931125e-11,-10.327982542987163,-11.174496398064738,-10.497389957517917,0.16940741453075425
ESO444-G084,3.39,63.1,1.35,3.806347854467428e-11,3.3661329191547007e-12,2.1828183692037206e-11,-10.419491524936952,-11.47286873894971,-10.660982400128837,0.24149087519188583
ESO444-G084,4.44,62.7,7.36,2.869469192072013e-11,1.7896032128037686e-12,1.556744159971136e-11,-10.542198433675326,-11.747243249239045,-10.807782754832235,0.26558432115690955
ESO563-G021,0.45,18.9,9.78,2.5725305999609373e-11,1.5302729709426744e-10,2.261283808499656e-10,-10.589639450650994,-9.815231092581088,-9.645644926938065,-0.943994523712929
ESO563-G021,1.34,58.3,10.5,8.22018829783549e-11,1.746251463489912e-10,2.492140230355598e-10,-10.085118234068918,-9.757893216906208,-9.603427523988723,-0.4816907100801959
ESO563-G021,2.23,74.1,5.69,7.979597905952473e-11,1.3733892477864865e-10,2.0906303204623107e-10,-10.098018992311642,-9.862206357003904,-9.679722755311074,-0.4182962370005683
ESO563-G021,3.12,119.0,4.27,1.4709190871096685e-10,1.1097899310015748e-10,1.7965058221230248e-10,-9.832411216455519,-9.954759219808654,-9.745571370993812,-0.0868398454617072
ESO563-G021,4.01,141.0,3.76,1.6067314975921056e-10,1.0069763793665612e-10,1.6785637658389212e-10,-9.79405669253156,-9.996980716567608,-9.775062155979292,-0.01899453655226857
